trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-238.2576194175389,"{0: 13, 1: 6, 2: 5, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,3,-142.5975888391644,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-175.6511157363247,"{0: 21, 1: 7, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-158.88307313176304,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-123.25319683362603,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-161.3722953237041,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-193.13386208803763,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-43.85805032301026,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-53.89375257610839,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-100.72103664506237,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-190.9040627730604,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-107.38191166445928,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-93.5559955270241,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-21.875401758610643,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-103.1754007213981,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-184.07886914166835,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-91.89454468026034,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-113.06075476803437,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-211.80581323465506,"{0: 18, 1: 5, 2: 7, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-38.63194698303082,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-210.18752220733995,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",30,0,-103.05327585933472,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-177.62035044851305,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-298.63897184833894,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 5}",0
5,True,"{'a': 0, 'e': 0}",20,0,-30.291643520028252,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-82.45163986020422,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-208.92169816142774,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-146.65209011576565,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-76.76331212624936,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-145.24886068058933,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
