trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.45, 'e': 0.9999995000000417}",30,15,-42.078845240273274,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.45, 'e': 0.9999980000006666}",20,0,-183.9875028038835,"{0: 7, 1: 5, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.45, 'e': 0.999995500003375}",20,0,-50.971973747445,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.45, 'e': 0.9999920000106667}",30,0,-129.1984153639307,"{0: 15, 1: 8, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.45, 'e': 0.9999875000260416}",25,0,-109.09648904204539,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.45, 'e': 0.999982000054}",20,0,-56.3179613976577,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.45, 'e': 0.9999755001000415}",25,0,-165.581475205342,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.45, 'e': 0.9999680001706663}",20,0,-188.73506871100935,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
9,False,"{'a': 0.45, 'e': 0.9999595002733742}",20,3,-107.1279055486755,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.45, 'e': 0.9999500004166653}",25,0,-125.08018272803366,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.45, 'e': 0.9999395006100392}",20,0,-133.15051070494638,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.45, 'e': 0.9999280008639958}",25,0,-158.26175446947178,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.45, 'e': 0.9999155011900349}",20,12,-18.926546861037338,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.45, 'e': 0.9999020016006562}",25,0,-252.6547552275837,"{0: 10, 1: 5, 2: 4, 3: 2, 4: 4}",0
15,False,"{'a': 0.45, 'e': 0.9998875021093592}",25,0,-151.06625384363463,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.45, 'e': 0.9998720027306434}",25,0,-84.21166451993496,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.45, 'e': 0.9998555034800082}",20,0,-52.90502460577958,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.45, 'e': 0.9998380043739528}",30,0,-192.38332389230263,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
19,False,"{'a': 0.45, 'e': 0.9998195054299763}",20,0,-168.75136931166824,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.45, 'e': 0.9998000066665778}",20,0,-53.798700185992466,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.45, 'e': 0.9997795081032559}",20,0,-18.236231102663663,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.45, 'e': 0.9997580097605092}",20,0,-81.5676494268397,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
23,False,"{'a': 0.45, 'e': 0.9997355116598361}",20,0,-104.26447424929009,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.45, 'e': 0.9997120138237345}",25,0,-87.01925188245923,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.45, 'e': 0.9996875162757026}",25,0,-26.384099575577135,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.45, 'e': 0.9996620190402377}",25,0,-140.83417810952818,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
27,False,"{'a': 0.45, 'e': 0.9996355221428369}",25,0,-68.90269638241307,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
28,False,"{'a': 0.45, 'e': 0.9996080256099974}",25,0,-104.50815476512798,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.45, 'e': 0.9995795294692156}",25,0,-149.39571737774546,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
30,False,"{'a': 0.45, 'e': 0.9995500337489875}",35,0,-183.53965551106205,"{0: 20, 1: 5, 2: 7, 3: 0, 4: 3}",0
31,False,"{'a': 0.45, 'e': 0.999519538478809}",25,0,-103.72076849283637,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
32,False,"{'a': 0.45, 'e': 0.9994880436891754}",20,7,-24.592201198965135,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.45, 'e': 0.9994555494115813}",25,0,-76.68809156630986,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.45, 'e': 0.9994220556785212}",20,5,-13.94661816632022,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
