trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.9029839924552,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.48316122694256,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.49341130513956,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.25090607345831,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.85088263364639,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.97292776661504,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.630017037548374,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-225.82171071092483,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-95.58955695904046,"{0: 15, 1: 8, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.16134824575042,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.51593773109636,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.40686827151984,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-137.59329324509054,"{0: 21, 1: 4, 2: 6, 3: 4, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.57615607184843,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.5493311697648,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-211.20691703719424,"{0: 6, 1: 2, 2: 7, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.70006254287748,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.60838782783424,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.23278351222615,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.9143448365067,"{0: 14, 1: 4, 2: 9, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.56850913879197,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-17.214858406089405,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-195.5975645958488,"{0: 20, 1: 0, 2: 4, 3: 3, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.42057780302912,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-45.15816634279779,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-228.9097218263633,"{0: 11, 1: 0, 2: 10, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.20059165544549,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,4,-144.59980316042805,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 3}",1
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-259.5229161762151,"{0: 16, 1: 3, 2: 10, 3: 4, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-184.76590248513943,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
